theme,url,img,lines,author
LISTENING,/inspirational-quotes/7139-the-most-basic-and-powerful-way-to-connect-to,https://assets.passiton.com/quotes/quote_artwork/7139/medium/20241017_thursday_quote.jpg,The most basic and powerful way to connect to another person is to listen. Just listen.,0x00005631cb46c820
LISTENING,/inspirational-quotes/8426-i-m-a-very-strong-believer-in-listening-and,https://assets.passiton.com/quotes/quote_artwork/8426/medium/20241016_wednesday_quote.jpg,I’m a very strong believer in listening and learning from others.,0x00005631cb427b80
LISTENING,/inspirational-quotes/8363-with-the-gift-of-listening-comes-the-gift-of,https://assets.passiton.com/quotes/quote_artwork/8363/medium/20241015_tuesday_quote.jpg,With the gift of listening comes the gift of healing.,0x00005631cb4bf5e8
LISTENING,/inspirational-quotes/7608-listening-is-where-love-begins-listening-to,https://assets.passiton.com/quotes/quote_artwork/7608/medium/20241014_monday_quote.jpg,Listening is where love begins: listening to ourselves and then to our neighbors.,0x00005631cb49e7a8
COMMON GROUND,/inspirational-quotes/7560-touch-the-earth-speak-of-love-walk-on-common,https://assets.passiton.com/quotes/quote_artwork/7560/medium/20241011_friday_quote.jpg,"Touch the earth, speak of love, walk on common ground.",0x00005631cb480910
COMMON GROUND,/inspirational-quotes/8421-we-all-come-from-different-paths-in-life-but-we,https://assets.passiton.com/quotes/quote_artwork/8421/medium/20241010_thursday_quote.jpg,We all come from different paths in life but we can find common ground.,0x00005631cb505318
COMMON GROUND,/inspirational-quotes/8437-music-has-a-great-power-for-bringing-people,https://assets.passiton.com/quotes/quote_artwork/8437/medium/20241009_wednesday_quote.jpg,Music has a great power for bringing people together.,0x00005631cb4d3a20
COMMON GROUND,/inspirational-quotes/3463-we-all-live-with-the-objective-of-being-happy,https://assets.passiton.com/quotes/quote_artwork/3463/medium/20241008_tuesday_quote.jpg,We all live with the objective of being happy; our lives are all different and yet the same.,0x00005631cb5658a8
COMMON GROUND,/inspirational-quotes/7619-we-can-find-common-ground-only-by-moving-to,https://assets.passiton.com/quotes/quote_artwork/7619/medium/20241007_monday_quote.jpg,We can find common ground only by moving to higher ground.,0x00005631cb53da88
HONESTY,/inspirational-quotes/4053-no-legacy-is-so-rich-as-honesty,https://assets.passiton.com/quotes/quote_artwork/4053/medium/20241004_friday_quote.jpg,No legacy is so rich as honesty.,0x00005631cb5eb4f8
HONESTY,/inspirational-quotes/8004-don-t-ever-regret-being-honest-period,https://assets.passiton.com/quotes/quote_artwork/8004/medium/20241003_thursday_quote.jpg,Don’t ever regret being honest. Period.,0x00005631cb5afde0
HONESTY,/inspirational-quotes/8001-when-you-walk-a-life-of-honesty-you-live-a,https://assets.passiton.com/quotes/quote_artwork/8001/medium/20241002_wednesday_quote.jpg,"When you walk a life of honesty, you live a life of truth.",0x00005631cb670040
HONESTY,/inspirational-quotes/7793-honesty-is-the-fastest-way-to-prevent-a-mistake,https://assets.passiton.com/quotes/quote_artwork/7793/medium/20241001_tuesday_quote.jpg,Honesty is the fastest way to prevent a mistake from turning into a failure.,0x00005631cb650330
HONESTY,/inspirational-quotes/8002-be-true-to-your-work-your-word-and-your-friend,https://assets.passiton.com/quotes/quote_artwork/8002/medium/20240930_monday_quote.jpg,"Be true to your work, your word, and your friend.",0x00005631cb628ee8
PERSEVERANCE,/inspirational-quotes/3878-the-way-i-see-it-if-you-want-the-rainbow-you,https://assets.passiton.com/quotes/quote_artwork/3878/medium/20240927_friday_quote.jpg,"The way I see it, if you want the rainbow, you gotta put up with the rain.",0x00005631cb69b858
PERSEVERANCE,/inspirational-quotes/6062-the-only-person-who-can-really-motivate-you-is,https://assets.passiton.com/quotes/quote_artwork/6062/medium/20240926_thursday_quote.jpg,The only person who can really motivate you is you.,0x00005631cb67e708
